no,category,product_name,roast_level,grind_type,size,reference_image,online_image_url,product_page_url,new_image_filename,status,designer_notes
50,Premium,Jamaican Blue Mountain,Light Roast,Ground,10oz Bag,reference-images/10-oz-Premium-Ground-Jamaican-Blue-Mountain-Blend.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/10-oz-Premium-Ground-Jamaican-Blue-Mountain-Blend.jpg,https://jeremiahspick.com/product/jamaican-blue-mountain/,,,
51,Premium,Jamaican Blue Mountain,Light Roast,Ground,1lb Bag,reference-images/1-lb-Premium-Jamaican-Blue-Mountain-Blend.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/1-lb-Premium-Jamaican-Blue-Mountain-Blend.jpg,https://jeremiahspick.com/product/jamaican-blue-mountain/,,,
52,Premium,Jamaican Blue Mountain,Light Roast,Ground,5lb Bag,reference-images/5-lb-blue-orange-bags.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/5-lb-blue-orange-bags.jpg,https://jeremiahspick.com/product/jamaican-blue-mountain/,,,
53,Premium,Jamaican Blue Mountain,Light Roast,Whole Bean,10oz Bag,reference-images/10-oz-Premium-Whole-Bean-Jamaican-Blue-Mountain-Blend.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/10-oz-Premium-Whole-Bean-Jamaican-Blue-Mountain-Blend.jpg,https://jeremiahspick.com/product/jamaican-blue-mountain/,,,
54,Premium,Jamaican Blue Mountain,Light Roast,Whole Bean,1lb Bag,reference-images/1-lb-Premium-Jamaican-Blue-Mountain-Blend.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/1-lb-Premium-Jamaican-Blue-Mountain-Blend.jpg,https://jeremiahspick.com/product/jamaican-blue-mountain/,,,
55,Premium,Jamaican Blue Mountain,Light Roast,Whole Bean,5lb Bag,reference-images/5-lb-blue-orange-bags.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/5-lb-blue-orange-bags.jpg,https://jeremiahspick.com/product/jamaican-blue-mountain/,,,
56,Premium,Kona Blend,Light Roast,Ground,10oz Bag,reference-images/10-oz-Premium-Ground-Kona-Blend.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/10-oz-Premium-Ground-Kona-Blend.jpg,https://jeremiahspick.com/product/kona-blend/,,,
57,Premium,Kona Blend,Light Roast,Ground,1lb Bag,reference-images/1-lb-Premium-Kona-Blend.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/1-lb-Premium-Kona-Blend.jpg,https://jeremiahspick.com/product/kona-blend/,,,
58,Premium,Kona Blend,Light Roast,Ground,5lb Bag,reference-images/5-lb-blue-orange-bags.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/5-lb-blue-orange-bags.jpg,https://jeremiahspick.com/product/kona-blend/,,,
59,Premium,Kona Blend,Light Roast,Whole Bean,10oz Bag,reference-images/10-oz-Premium-Whole-Bean-Kona-Blend.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/10-oz-Premium-Whole-Bean-Kona-Blend.jpg,https://jeremiahspick.com/product/kona-blend/,,,
60,Premium,Kona Blend,Light Roast,Whole Bean,1lb Bag,reference-images/1-lb-Premium-Kona-Blend.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/1-lb-Premium-Kona-Blend.jpg,https://jeremiahspick.com/product/kona-blend/,,,
61,Premium,Kona Blend,Light Roast,Whole Bean,5lb Bag,reference-images/5-lb-blue-orange-bags.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/5-lb-blue-orange-bags.jpg,https://jeremiahspick.com/product/kona-blend/,,,
62,Premium,Mocha Java,Medium Roast,Ground,10oz Bag,reference-images/10-oz-Premium-Ground-Mocha-Java.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/10-oz-Premium-Ground-Mocha-Java.jpg,https://jeremiahspick.com/product/mocha-java/,,,
63,Premium,Mocha Java,Medium Roast,Ground,1lb Bag,reference-images/1-lb-Premium-Mocha-Java-Blend.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/1-lb-Premium-Mocha-Java-Blend.jpg,https://jeremiahspick.com/product/mocha-java/,,,
64,Premium,Mocha Java,Medium Roast,Ground,5lb Bag,reference-images/5-lb-blue-orange-bags.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/5-lb-blue-orange-bags.jpg,https://jeremiahspick.com/product/mocha-java/,,,
65,Premium,Mocha Java,Medium Roast,Whole Bean,10oz Bag,reference-images/10-oz-Premium-Whole-Bean-Mocha-Java.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/10-oz-Premium-Whole-Bean-Mocha-Java.jpg,https://jeremiahspick.com/product/mocha-java/,,,
66,Premium,Mocha Java,Medium Roast,Whole Bean,1lb Bag,reference-images/1-lb-Premium-Mocha-Java-Blend.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/1-lb-Premium-Mocha-Java-Blend.jpg,https://jeremiahspick.com/product/mocha-java/,,,
67,Premium,Mocha Java,Medium Roast,Whole Bean,5lb Bag,reference-images/5-lb-blue-orange-bags.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/5-lb-blue-orange-bags.jpg,https://jeremiahspick.com/product/mocha-java/,,,
68,Premium,Organic Chocatal,Medium Roast,Ground,10oz Bag,reference-images/10-oz-Organic-Chocatal-Ground.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/10-oz-Organic-Chocatal-Ground.jpg,https://jeremiahspick.com/product/organic-chocatal/,,,
69,Premium,Organic Chocatal,Medium Roast,Ground,1lb Bag,reference-images/1-lb-Organic-Chocatal.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/1-lb-Organic-Chocatal.jpg,https://jeremiahspick.com/product/organic-chocatal/,,,
70,Premium,Organic Chocatal,Medium Roast,Ground,5lb Bag,reference-images/5-lb-blue-orange-bags.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/5-lb-blue-orange-bags.jpg,https://jeremiahspick.com/product/organic-chocatal/,,,
71,Premium,Private Reserve,Dark Roast,Ground,10oz Bag,reference-images/10-oz-Premium-Ground-Private-Reserve.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/10-oz-Premium-Ground-Private-Reserve.jpg,https://jeremiahspick.com/product/private-reserve/,,,
72,Premium,Private Reserve,Dark Roast,Ground,1lb Bag,reference-images/1-lb-Premium-Private-Reserve.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/1-lb-Premium-Private-Reserve.jpg,https://jeremiahspick.com/product/private-reserve/,,,
73,Premium,Private Reserve,Dark Roast,Ground,5lb Bag,reference-images/5-lb-blue-orange-bags.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/5-lb-blue-orange-bags.jpg,https://jeremiahspick.com/product/private-reserve/,,,
74,Premium,Private Reserve,Dark Roast,Whole Bean,10oz Bag,reference-images/10-oz-Premium-Whole-Bean-Private-Reserve.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/10-oz-Premium-Whole-Bean-Private-Reserve.jpg,https://jeremiahspick.com/product/private-reserve/,,,
75,Premium,Private Reserve,Dark Roast,Whole Bean,1lb Bag,reference-images/1-lb-Premium-Private-Reserve.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/1-lb-Premium-Private-Reserve.jpg,https://jeremiahspick.com/product/private-reserve/,,,
76,Premium,Private Reserve,Dark Roast,Whole Bean,5lb Bag,reference-images/5-lb-blue-orange-bags.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/5-lb-blue-orange-bags.jpg,https://jeremiahspick.com/product/private-reserve/,,,
77,Premium,Sumatra Mandheling,Dark Roast,Ground,10oz Bag,reference-images/10-oz-Single-Origin-Ground-Sumatra-Mandheling.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/10-oz-Single-Origin-Ground-Sumatra-Mandheling.jpg,https://jeremiahspick.com/product/sumatra-mandheling/,,,
78,Premium,Sumatra Mandheling,Dark Roast,Ground,1lb Bag,reference-images/1-lb-Premium-Sumatra.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/1-lb-Premium-Sumatra.jpg,https://jeremiahspick.com/product/sumatra-mandheling/,,,
79,Premium,Sumatra Mandheling,Dark Roast,Ground,5lb Bag,reference-images/5-lb-blue-orange-bags.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/5-lb-blue-orange-bags.jpg,https://jeremiahspick.com/product/sumatra-mandheling/,,,
